연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,주말,3,320,을지로3가,하행,5.1,9.4,10.5,19.4,23.7,23.6,25.8,25.5,24.4,26.6,27.3,30.4,31.0,24.8,16.8,14.1,14.6,12.4,6.7
,주말,3,321,충무로,상행,2.0,4.8,5.8,10.8,16.0,18.0,22.0,25.6,27.9,27.0,24.7,29.6,31.7,28.4,19.8,21.9,20.1,18.7,10.4
,주말,3,321,충무로,하행,5.3,12.3,12.4,22.5,27.5,26.4,28.8,27.6,26.4,28.2,29.0,32.4,31.6,25.5,17.1,15.2,15.0,12.2,6.7
,주말,3,322,동대입구,상행,2.6,4.0,5.8,10.3,15.7,17.4,22.8,27.2,29.7,29.1,26.7,33.0,35.3,30.3,21.4,25.3,23.1,21.0,11.1
,주말,3,322,동대입구,하행,5.4,11.6,11.6,20.2,25.8,25.0,27.6,27.2,26.1,28.1,29.2,32.8,32.3,25.8,17.4,15.6,15.2,13.4,7.1
,주말,3,323,약수,상행,2.6,4.2,6.0,11.3,16.8,18.3,23.8,27.2,29.8,28.0,27.0,32.2,33.4,29.1,20.8,25.0,22.6,20.0,11.1
,주말,3,323,약수,하행,6.9,14.6,12.4,23.8,30.8,29.4,33.0,31.4,30.4,31.9,32.6,35.7,36.3,28.7,19.7,16.2,15.6,14.9,8.4
,주말,3,324,금호,상행,3.5,4.4,6.2,11.8,17.0,18.9,26.0,30.0,32.9,30.8,30.6,36.7,39.0,33.4,25.1,30.3,25.3,24.0,12.1
,주말,3,324,금호,하행,7.6,14.8,12.7,25.2,31.3,29.0,33.4,31.6,30.8,31.8,32.1,35.5,35.8,28.1,19.2,15.9,15.0,14.3,7.8
,주말,3,325,옥수,상행,3.1,4.5,5.8,11.6,16.5,19.4,25.8,29.6,32.5,30.0,31.5,37.1,38.4,34.7,25.0,31.0,25.7,24.6,12.8
,주말,3,325,옥수,하행,9.6,15.6,14.0,27.8,34.7,32.4,36.8,34.6,33.8,34.4,34.7,37.8,38.1,29.3,20.0,16.2,15.2,14.4,7.8
,주말,3,326,압구정,상행,3.0,4.8,6.1,12.3,16.8,19.8,26.9,31.3,34.2,31.9,35.2,40.4,42.4,38.3,28.2,35.0,28.8,27.1,13.6
,주말,3,326,압구정,하행,3.0,15.2,12.7,21.6,27.7,27.8,33.6,32.4,32.0,34.0,35.2,39.1,39.5,31.4,22.6,19.5,19.1,17.1,8.6
,주말,3,327,신사,상행,2.6,5.4,7.2,16.0,22.1,23.6,29.2,33.9,36.2,31.7,34.2,38.1,39.4,34.3,24.8,28.9,24.5,24.5,11.6
,주말,3,327,신사,하행,3.6,14.3,11.9,20.0,23.7,25.0,31.7,30.8,31.4,34.2,37.5,41.5,43.4,34.6,26.0,24.4,24.4,23.2,11.2
,주말,3,328,잠원,상행,2.3,6.3,8.3,18.4,27.2,29.5,34.0,39.4,40.6,35.4,36.1,40.0,40.8,34.7,23.0,27.6,21.2,20.3,8.6
,주말,3,328,잠원,하행,3.7,14.4,11.9,20.2,23.9,25.2,32.1,31.2,31.8,34.3,37.6,41.6,43.6,34.7,26.0,24.5,24.3,23.0,11.0
,주말,3,329,고속터미널,상행,2.3,6.6,8.4,18.5,27.2,29.4,34.1,39.3,40.6,35.5,36.2,40.4,40.9,34.9,23.3,27.9,21.3,20.6,8.9
,주말,3,329,고속터미널,하행,3.8,17.5,12.1,23.8,27.6,27.6,34.3,34.8,34.4,37.3,38.1,43.8,44.5,37.4,29.0,28.4,25.0,23.5,11.1
,주말,3,330,교대,상행,3.1,7.8,10.2,20.6,26.4,29.6,35.6,41.2,42.7,37.6,41.1,45.3,43.5,37.6,24.2,26.2,23.6,21.6,9.5
,주말,3,330,교대,하행,5.0,16.7,11.2,22.4,23.5,23.8,26.9,27.2,28.1,30.0,30.1,34.0,34.4,28.4,23.1,22.6,19.0,19.6,9.3
,주말,3,331,남부터미널,상행,2.4,6.2,8.7,16.2,21.5,24.4,30.8,34.6,34.8,30.0,33.6,36.4,35.7,28.6,19.3,20.4,18.2,16.1,7.2
,주말,3,331,남부터미널,하행,4.4,13.4,8.9,17.8,19.6,18.8,22.0,21.8,22.2,24.0,24.6,28.1,29.0,23.9,19.5,19.8,17.7,18.4,8.8
,주말,3,332,양재,상행,2.2,6.0,8.5,15.1,19.6,21.8,26.5,29.7,29.4,25.0,27.7,30.2,28.8,22.5,14.4,15.3,14.0,13.1,5.9
,주말,3,332,양재,하행,1.8,7.6,5.0,8.7,11.2,10.4,12.8,13.2,13.3,14.4,15.6,17.5,17.3,15.8,11.9,11.2,10.8,11.2,6.2
,주말,3,333,매봉,상행,2.0,5.0,6.5,11.6,14.0,15.2,16.5,18.4,18.3,14.9,16.4,17.9,17.5,12.6,7.8,8.0,7.4,8.0,4.0
,주말,3,333,매봉,하행,2.0,7.0,4.7,7.9,10.2,9.8,11.4,12.9,12.4,13.8,14.9,16.8,16.2,15.2,11.2,10.9,10.3,11.2,6.0
,주말,3,334,도곡,상행,2.0,4.7,6.3,11.3,13.6,14.6,15.9,17.6,17.5,13.6,15.4,16.8,16.6,11.8,7.2,7.4,6.3,7.2,3.8
,주말,3,334,도곡,하행,1.9,6.2,4.2,7.0,9.1,8.7,9.6,11.1,11.2,11.6,13.2,14.6,14.0,13.7,10.4,9.4,9.0,10.2,5.4
,주말,3,335,대치,상행,1.9,4.2,5.6,10.7,12.1,13.1,13.9,15.8,15.5,12.0,13.5,14.7,14.2,10.3,6.1,6.1,5.2,6.1,3.4
,주말,3,335,대치,하행,2.2,5.4,3.8,5.7,7.0,7.8,8.3,9.9,9.8,10.8,12.0,12.7,13.4,12.2,9.8,8.6,8.4,9.6,4.8
,주말,3,336,학여울,상행,1.5,4.1,5.1,10.0,11.7,12.2,12.7,14.2,14.1,10.7,11.6,12.7,12.1,8.4,5.1,5.2,4.3,4.7,3.2
,주말,3,336,학여울,하행,2.2,5.8,3.7,5.1,6.3,6.2,7.0,8.7,8.8,9.7,11.6,12.7,13.5,12.1,9.6,8.5,8.3,9.5,4.6
,주말,3,337,대청,상행,1.4,4.2,5.0,10.0,11.9,12.5,12.5,13.8,13.0,9.5,10.6,10.4,11.0,7.4,4.9,5.1,4.2,4.6,3.2
,주말,3,337,대청,하행,2.1,5.4,3.5,4.9,6.1,6.0,6.7,8.2,8.0,8.9,10.5,11.5,11.9,10.6,8.2,7.6,7.2,8.2,4.1
,주말,3,338,일원,상행,1.2,3.8,4.4,8.8,10.3,11.0,10.9,12.3,11.5,8.4,9.6,9.3,10.1,6.8,4.7,4.6,3.8,4.2,3.4
,주말,3,338,일원,하행,2.1,4.8,3.0,4.2,5.4,5.5,6.2,8.0,7.5,8.0,10.1,10.5,11.1,9.8,7.6,6.7,6.8,7.0,3.6
,주말,3,339,수서,상행,1.5,3.4,4.7,8.8,9.3,10.3,9.4,10.4,10.1,7.8,8.2,9.0,9.1,6.4,4.5,4.5,3.8,3.9,3.4
,주말,3,339,수서,하행,2.0,3.6,2.3,4.0,4.8,5.9,6.6,7.5,7.6,7.0,9.7,9.9,10.6,9.1,6.8,6.3,6.1,6.8,3.6
,주말,3,340,가락시장,상행,2.8,6.2,4.8,8.8,9.6,9.1,8.3,10.4,9.2,7.5,7.7,8.2,9.0,6.6,4.8,5.2,4.3,3.2,2.3
,주말,3,340,가락시장,하행,0.0,2.7,1.5,2.8,3.2,3.5,3.9,4.3,4.4,4.4,5.6,6.4,7.5,6.4,5.1,5.5,5.0,5.4,5.6
,주말,3,341,경찰병원,상행,1.8,4.3,3.4,6.3,6.5,6.1,5.6,7.0,6.4,4.8,5.0,5.2,5.6,3.5,2.6,2.7,2.4,1.7,0.6
,주말,3,341,경찰병원,하행,0.0,2.2,1.2,2.1,2.8,3.0,3.0,3.8,3.5,3.8,4.6,5.1,6.1,4.9,4.1,4.3,3.8,4.2,3.6
,주말,3,342,오금,상행,1.6,3.8,2.8,5.2,5.2,4.8,4.4,5.5,5.0,3.9,4.0,4.2,4.5,3.0,2.2,2.1,2.0,1.4,0.4
