연번,평일/주말,호선,역변호,출발역,상하구분,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30,
194,,3,341,경찰병원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,3,342,오금,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,3,342,오금,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,4,409,당고개,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,4,409,당고개,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,4,410,상계,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,4,410,상계,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,4,411,노원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,4,411,노원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,4,412,창동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,4,412,창동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,4,413,쌍문,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,4,413,쌍문,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,4,414,수유,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,4,414,수유,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,4,415,미아,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,4,415,미아,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,4,416,미아사거리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,4,416,미아사거리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,4,417,길음,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,4,417,길음,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,4,418,성신여대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,4,418,성신여대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,4,419,한성대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,4,419,한성대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,4,420,혜화,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,4,420,혜화,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,4,421,동대문,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,4,421,동대문,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,4,422,동대문역사문화공원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,4,422,동대문역사문화공원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,4,423,충무로,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,4,423,충무로,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,4,424,명동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,4,424,명동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,4,425,회현,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,4,425,회현,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,4,426,서울역,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,4,426,서울역,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,4,427,숙대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,4,427,숙대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,4,428,삼각지,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,4,428,삼각지,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,4,429,신용산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,4,429,신용산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,4,430,이촌,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,4,430,이촌,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,4,431,동작,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,4,431,동작,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,4,432,총신대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,4,432,총신대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
