연번,호선,역번호,역명,상행(내선순환),출구 번호,하행(외선순환),출구번호,기타
222,7호선,2725,용마산(용마폭포공원),사가정 방면,02월 04일,중곡 방면,07월 01일,
223,7호선,2726,중곡,용마산 방면,"3-4, 6-1",군자 방면,"3-4, 6-1",
224,7호선,2727,군자(능동),중곡 방면,02월 04일,어린이대공원 방면,07월 01일,
225,7호선,2728,어린이대공원(세종대),군자 방면,04월 01일,건대입구 방면,05월 04일,
226,7호선,2729,건대입구,어린이대공원 방면,"4-4, 7-1, 8-4",자양 방면,"1-1, 5-1",
227,7호선,2730,뚝섬유원지,건대입구 방면,"3-2, 7-1",청담 방면,"2-3, 6-2",역명 변경(뚝섬유원지 -> 자양)
228,7호선,2731,청담,자양 방면,01월 01일,강남구청 방면,08월 04일,
229,7호선,2732,강남구청,청담 방면,"1-4, 7-4",학동 방면,"1-4, 2-1, 7-4",
230,7호선,2733,학동,강남구청 방면,05월 04일,논현 방면,05월 04일,
231,7호선,2734,논현,학동 방면,"2-4, 6-2, 6-3",반포 방면,"3-2, 6-4, 7-1",
232,7호선,2735,반포,논현 방면,05월 04일,고속터미널 방면,03월 04일,
233,7호선,2736,고속터미널,반포 방면,"2-3, 4-4, 7-1",내방 방면,"2-3, 5-1, 7-1",
234,7호선,2737,내방,고속터미널 방면,04월 02일,이수 방면,05월 02일,
235,7호선,2738,이수,내방 방면,"3-4, 5-2, 7-3",남성 방면,"2-1, 4-2, 8-4",
236,7호선,2739,남성,이수 방면,03월 04일,숭실대입구 방면,05월 04일,
237,7호선,2740,숭실대입구(살피재),남성 방면,04월 01일,상도 방면,05월 03일,
238,7호선,2741,상도,숭실대입구 방면,05월 04일,장승배기 방면,03월 04일,
239,7호선,2742,장승배기,상도 방면,05월 04일,신대방삼거리 방면,05월 04일,
240,7호선,2743,신대방삼거리,장승배기 방면,"3-3, 3-4",보라매 방면,03월 04일,
241,7호선,2744,보라매,신대방삼거리 방면,03월 04일,신풍 방면,05월 04일,
242,7호선,2745,신풍,보라매 방면,"1-4, 4-4",대림 방면,"4-4, 7-4",
243,7호선,2746,대림(구로구청),신풍 방면,"3-4, 8-4",남구로 방면,"1-1, 5-4",
244,7호선,2747,남구로,대림 방면,"1-1, 8-4",가산디지털단지 방면,"1-1, 8-4",
245,7호선,2748,가산디지털단지,남구로 방면,"4-3, 6-4",철산 방면,"3-1, 5-1, 5-2",
246,7호선,2749,철산,가산디지털단지 방면,"4-1, 5-4",광명사거리 방면,"4-1, 4-4, 5-4",
247,7호선,2750,광명사거리,철산 방면,"1-1, 8-4",천왕 방면,"1-1, 8-4",
248,7호선,2751,천왕,광명사거리 방면,04월 01일,온수 방면,05월 04일,
249,7호선,2752,온수(성공회대입구),천왕 방면,"1-1, 4-1, 5-4",까치울 방면,"4-1, 5-4, 8-4",
250,8호선,2811,암사,암사역사공원 방면,02월 04일,천호 방면 ,05월 01일,
251,8호선,2812,천호(풍납토성),암사 방면,"1-4, 2-2",강동구청 방면,"5-3, 6-1",
252,8호선,2813,강동구청,천호 방면,"2-3, 3-2",몽촌토성 방면,04월 02일,
253,8호선,2814,몽촌토성(평화의문),강동구청 방면,02월 04일,잠실 방면,04월 04일,
254,8호선,2815,잠실(송파구청),몽촌토성 방면,"3-1, 5-1",석촌 방면,"2-4, 4-4",
255,8호선,2816,석촌,잠실 방면,04월 04일,송파 방면 ,03월 01일,
256,8호선,2817,송파,석촌 방면,"2-4, 4-4",가락시장 방면,"3-1, 5-1",
257,8호선,2818,가락시장,송파 방면,"4-3, 4-4, 6-4",문정 방면,"1-1, 3-1",
258,8호선,2819,문정,가락시장 방면,"2-4, 3-1, 4-4",장지 방면,"3-1, 4-4, 5-1",
259,8호선,2820,장지,문정 방면,04월 04일,복정 방면,03월 01일,
260,8호선,2821,복정,장지 방면,02월 04일,남위례 방면,04월 04일,
261,8호선,2828,남위례,복정 방면,04월 01일,산성 방면,"2-2, 5-1",신설역
262,8호선,2822,산성,남위례 방면,06월 02일,남한산성입구 방면,01월 03일,
263,8호선,2823,"남한산성입구(성남법원,검찰청)",산성 방면,03월 01일,단대오거리 방면,04월 04일,
264,8호선,2824,단대오거리,남한산성입구 방면,"3-3, 5-1",신흥 방면,"2-4, 4-2",
265,8호선,2825,신흥,단대오거리 방면,04월 04일,수진 방면,03월 01일,
266,8호선,2826,수진,신흥 방면,03월 01일,모란 방면,04월 04일,
267,8호선,2827,모란,,,모란 방면,03월 02일,
