호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
1호선,동묘앞역,18,0,0,"[89, 82, 85, 82, 81, 88, 99, 100, 110, 121]",5
1호선,동묘앞역,18,0,1,"[28, 26, 26, 35, 35, 37, 35, 37, 42, 46]",2
1호선,동묘앞역,18,1,0,"[39, 38, 34, 31, 36, 34, 28, 21, 17, 18]",9
1호선,동묘앞역,18,1,1,"[27, 28, 27, 20, 24, 27, 18, 17, 16, 14]",10
1호선,동묘앞역,19,0,0,"[41, 39, 44, 46, 44, 46, 49, 51, 57, 64]",2
1호선,동묘앞역,19,0,1,"[28, 20, 24, 29, 28, 28, 32, 32, 38, 38]",2
1호선,동묘앞역,19,1,0,"[21, 19, 18, 16, 17, 16, 12, 10, 8, 10]",9
1호선,동묘앞역,19,1,1,"[21, 20, 17, 20, 23, 20, 15, 11, 11, 12]",8
1호선,동묘앞역,20,0,0,"[34, 32, 31, 34, 37, 38, 40, 37, 47, 56]",3
1호선,동묘앞역,20,0,1,"[19, 21, 22, 24, 28, 34, 31, 28, 35, 38]",1
1호선,동묘앞역,20,1,0,"[17, 14, 12, 13, 13, 12, 11, 9, 8, 8]",9
1호선,동묘앞역,20,1,1,"[15, 14, 15, 14, 13, 14, 10, 9, 9, 9]",8
1호선,동묘앞역,21,0,0,"[37, 27, 30, 32, 33, 34, 34, 41, 48, 50]",2
1호선,동묘앞역,21,0,1,"[22, 20, 22, 25, 26, 35, 35, 33, 35, 41]",2
1호선,동묘앞역,21,1,0,"[14, 14, 13, 12, 12, 12, 9, 7, 6, 7]",9
1호선,동묘앞역,21,1,1,"[16, 15, 13, 11, 16, 13, 12, 9, 8, 9]",9
1호선,동묘앞역,22,0,0,"[22, 21, 22, 23, 25, 28, 28, 33, 38, 41]",2
1호선,동묘앞역,22,0,1,"[25, 17, 20, 26, 28, 27, 30, 27, 36, 45]",2
1호선,동묘앞역,22,1,0,"[13, 11, 12, 9, 10, 13, 8, 7, 6, 7]",9
1호선,동묘앞역,22,1,1,"[10, 13, 11, 9, 10, 11, 8, 7, 6, 6]",9
1호선,동묘앞역,23,0,0,"[19, 16, 18, 18, 17, 17, 23, 24, 24, 31]",2
1호선,동묘앞역,23,0,1,"[28, 22, 22, 21, 29, 43, 37, 28, 46, 39]",4
1호선,동묘앞역,23,1,0,"[14, 11, 11, 9, 11, 9, 6, 5, 6, 7]",8
1호선,동묘앞역,23,1,1,"[10, 11, 8, 8, 8, 9, 8, 5, 5, 5]",8
1호선,동묘앞역,0,0,0,"[9, 7, 9, 14, 16, 10, 9, 12, 16, 18]",2
1호선,동묘앞역,0,0,1,"[13, 8, 8, 14, 14, 9, 12, 9, 15, 16]",2
1호선,동묘앞역,0,1,0,"[56, 48, 46, 45, 46, 41, 34, 31, 27, 27]",9
1호선,동묘앞역,0,1,1,"[26, 30, 25, 21, 27, 23, 17, 14, 12, 15]",9
1호선,서울역,5,0,0,"[24, 26, 24, 31, 23, 31, 23, 23, 30, 35]",5
1호선,서울역,5,0,1,"[18, 12, 14, 18, 20, 17, 20, 14, 19, 21]",2
1호선,서울역,5,1,0,"[27, 25, 19, 20, 20, 16, 14, 16, 11, 11]",9
1호선,서울역,5,1,1,"[17, 17, 13, 11, 14, 10, 8, 8, 6, 8]",9
1호선,서울역,6,0,0,"[24, 26, 24, 31, 23, 31, 23, 23, 30, 35]",5
1호선,서울역,6,0,1,"[18, 12, 14, 18, 20, 17, 20, 14, 19, 21]",2
1호선,서울역,6,1,0,"[27, 25, 19, 20, 20, 16, 14, 16, 11, 11]",9
1호선,서울역,6,1,1,"[17, 17, 13, 11, 14, 10, 8, 8, 6, 8]",9
1호선,서울역,7,0,0,"[51, 60, 56, 69, 57, 68, 60, 56, 58, 65]",1
1호선,서울역,7,0,1,"[13, 12, 12, 18, 19, 22, 16, 13, 18, 19]",2
1호선,서울역,7,1,0,"[55, 46, 41, 46, 43, 36, 33, 30, 27, 26]",10
1호선,서울역,7,1,1,"[17, 19, 15, 15, 16, 14, 8, 9, 6, 7]",9
1호선,서울역,8,0,0,"[73, 83, 81, 97, 93, 97, 97, 79, 95, 98]",1
1호선,서울역,8,0,1,"[18, 24, 25, 28, 34, 29, 34, 24, 28, 28]",1
1호선,서울역,8,1,0,"[57, 52, 47, 50, 43, 43, 36, 39, 36, 40]",7
1호선,서울역,8,1,1,"[25, 24, 25, 23, 23, 19, 15, 12, 9, 8]",10
1호선,서울역,9,0,0,"[47, 54, 53, 60, 60, 59, 59, 54, 61, 61]",1
1호선,서울역,9,0,1,"[28, 27, 31, 48, 44, 48, 38, 39, 47, 42]",2
1호선,서울역,9,1,0,"[37, 36, 31, 35, 30, 24, 21, 21, 21, 24]",7
1호선,서울역,9,1,1,"[31, 28, 27, 32, 25, 24, 17, 14, 13, 12]",10
1호선,서울역,10,0,0,"[35, 40, 40, 47, 49, 43, 41, 41, 42, 42]",1
1호선,서울역,10,0,1,"[31, 38, 43, 51, 53, 53, 50, 36, 48, 39]",1
1호선,서울역,10,1,0,"[23, 27, 25, 26, 26, 20, 17, 13, 13, 12]",10
1호선,서울역,10,1,1,"[29, 40, 34, 34, 35, 26, 24, 17, 16, 14]",10
1호선,서울역,11,0,0,"[26, 32, 34, 39, 39, 41, 35, 33, 36, 32]",1
1호선,서울역,11,0,1,"[38, 41, 47, 58, 60, 52, 59, 45, 44, 45]",1
1호선,서울역,11,1,0,"[25, 29, 26, 28, 27, 23, 19, 16, 12, 14]",9
1호선,서울역,11,1,1,"[34, 39, 36, 36, 32, 29, 25, 18, 15, 16]",9
1호선,서울역,12,0,0,"[25, 32, 30, 41, 40, 41, 34, 34, 34, 33]",1
1호선,서울역,12,0,1,"[33, 42, 48, 56, 63, 58, 52, 52, 44, 47]",1
1호선,서울역,12,1,0,"[31, 31, 31, 31, 34, 29, 25, 19, 14, 14]",9
1호선,서울역,12,1,1,"[40, 41, 38, 35, 39, 34, 30, 21, 18, 16]",10
1호선,서울역,13,0,0,"[25, 30, 29, 36, 35, 34, 32, 30, 31, 30]",1
1호선,서울역,13,0,1,"[38, 39, 47, 61, 60, 60, 52, 44, 50, 49]",1
1호선,서울역,13,1,0,"[33, 34, 32, 33, 34, 30, 23, 20, 15, 15]",9
1호선,서울역,13,1,1,"[45, 44, 44, 44, 43, 38, 33, 28, 23, 18]",10
1호선,서울역,14,0,0,"[18, 20, 22, 25, 25, 26, 24, 21, 24, 22]",1
1호선,서울역,14,0,1,"[29, 27, 38, 48, 51, 48, 42, 35, 41, 40]",2
1호선,서울역,14,1,0,"[37, 38, 38, 38, 35, 32, 28, 24, 19, 14]",10
1호선,서울역,14,1,1,"[51, 53, 57, 51, 45, 49, 39, 33, 23, 19]",10
1호선,서울역,15,0,0,"[21, 23, 24, 29, 26, 28, 28, 23, 24, 30]",1
1호선,서울역,15,0,1,"[29, 29, 36, 45, 46, 44, 45, 41, 45, 45]",1
1호선,서울역,15,1,0,"[49, 52, 50, 46, 50, 39, 37, 35, 23, 25]",9
1호선,서울역,15,1,1,"[53, 68, 56, 59, 59, 49, 49, 35, 32, 25]",10
1호선,서울역,16,0,0,"[20, 21, 21, 28, 27, 25, 27, 24, 29, 29]",1
1호선,서울역,16,0,1,"[26, 29, 34, 38, 44, 42, 42, 42, 42, 48]",1
1호선,서울역,16,1,0,"[53, 56, 49, 48, 47, 42, 40, 31, 26, 26]",9
1호선,서울역,16,1,1,"[54, 61, 55, 51, 57, 50, 39, 37, 28, 25]",10
1호선,서울역,17,0,0,"[22, 26, 25, 29, 28, 30, 28, 29, 30, 34]",1
1호선,서울역,17,0,1,"[24, 25, 27, 38, 36, 38, 35, 35, 44, 41]",1
1호선,서울역,17,1,0,"[71, 74, 63, 69, 58, 57, 56, 49, 45, 39]",10
1호선,서울역,17,1,1,"[46, 47, 45, 44, 44, 39, 35, 28, 23, 20]",10
1호선,서울역,18,0,0,"[36, 42, 38, 39, 39, 43, 42, 47, 45, 53]",1
1호선,서울역,18,0,1,"[18, 19, 20, 27, 30, 36, 29, 30, 32, 38]",1
1호선,서울역,18,1,0,"[101, 110, 88, 85, 88, 82, 83, 73, 57, 63]",9
1호선,서울역,18,1,1,"[49, 49, 49, 42, 40, 40, 35, 32, 25, 19]",10
1호선,서울역,19,0,0,"[22, 24, 22, 26, 28, 26, 23, 24, 30, 33]",1
1호선,서울역,19,0,1,"[16, 13, 19, 24, 22, 23, 23, 24, 30, 29]",2
1호선,서울역,19,1,0,"[50, 48, 42, 45, 39, 35, 32, 28, 24, 23]",10
1호선,서울역,19,1,1,"[36, 37, 32, 32, 33, 29, 25, 19, 19, 15]",10
1호선,서울역,20,0,0,"[15, 16, 15, 18, 21, 21, 19, 17, 24, 27]",1
1호선,서울역,20,0,1,"[11, 12, 14, 20, 22, 29, 20, 20, 25, 30]",1
1호선,서울역,20,1,0,"[39, 36, 36, 34, 30, 30, 28, 22, 18, 19]",9
1호선,서울역,20,1,1,"[34, 33, 35, 38, 31, 24, 22, 22, 18, 16]",10
1호선,서울역,21,0,0,"[15, 13, 14, 18, 17, 19, 17, 20, 22, 26]",2
1호선,서울역,21,0,1,"[16, 15, 14, 14, 20, 24, 27, 23, 24, 30]",3
1호선,서울역,21,1,0,"[38, 39, 35, 37, 31, 28, 25, 21, 18, 16]",10
1호선,서울역,21,1,1,"[37, 38, 40, 36, 39, 30, 26, 18, 15, 20]",9
1호선,서울역,22,0,0,"[10, 10, 11, 14, 13, 13, 12, 14, 18, 24]",1
1호선,서울역,22,0,1,"[12, 11, 14, 18, 18, 19, 20, 15, 29, 30]",2
