연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
905,주말,6,2627,공덕,하행,6.7,10.5,12.2,21.5,29.8,33.9,37.6,43.6,44.6,42.7,42.4,47.4,44.6,37,30.4,29.3,29,28.2,21.4,0
906,주말,6,2628,효창공원앞,상행,5.6,9.1,10.5,14.5,21.7,27.4,32.6,36.4,41,42.3,44.3,50.3,51.7,48.8,36.6,32.4,34.4,35.5,23.3,1.9
907,주말,6,2628,효창공원앞,하행,6.3,11.8,12.3,21.7,31,35,39.3,46.2,45.4,43.2,43.9,47.6,44.9,37,29.9,28.7,27.9,28.3,22.5,0
908,주말,6,2629,삼각지,상행,5.7,9.4,10.7,14.3,21.6,26.9,31.8,35.3,40.7,42,44.6,50.1,52.4,49.4,37.1,33,35.5,36.4,21.4,2.4
909,주말,6,2629,삼각지,하행,5,9.4,9.8,17.4,23.6,28.4,33.5,39.9,42.4,41.2,40.5,42.8,42.4,36.6,30,28.8,28.4,28.9,22.4,0
910,주말,6,2630,녹사평,상행,7.9,10.2,10.6,14.6,20.4,23.9,28.5,32.4,36.1,37.3,40.8,46.1,48.3,42.7,33.5,30.3,31,36.6,20,3
911,주말,6,2630,녹사평,하행,5.1,9.2,9.5,16.8,23,27,31.1,36.5,39.1,37.6,37.8,40.6,41,35.9,30.2,30,29.8,30.8,22.8,0
912,주말,6,2631,이태원,상행,7.3,10,10.4,14.4,21.4,25,29,33.9,37.8,38.5,41.5,47.2,47.2,40.7,30.5,28.1,31.9,28,17,0
913,주말,6,2631,이태원,하행,12.1,11.6,10,16.5,22.1,26,28.8,33.2,37.4,34.8,36.2,39.1,39,35.3,30.3,29.4,30.4,31,20,0
914,주말,6,2632,한강진,상행,2.5,7.7,8.9,14.2,21.9,26,30.8,36.3,39.5,39.9,42.6,47.4,49,41.2,29.5,27.7,30.7,26.4,16.8,0
