연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
853.0,주말,1,150,서울역,상행,40.1,42.025,42.8,43.2,38.825,35.724999999999994,31.775,28.375,22.375,20.424999999999997,17.85,17.424999999999997,15.875,13.850000000000001
854.0,주말,1,150,서울역,하행,25.825,24.475,30.724999999999998,34.724999999999994,42.925,44.875,45.525,43.95,41.0,36.849999999999994,34.375,32.575,25.5,16.45
851.0,주말,1,151,시청,상행,35.2,36.825,41.075,41.025000000000006,38.725,34.4,31.875,28.925,24.049999999999997,22.0,19.725,19.200000000000003,17.825,19.4
852.0,주말,1,151,시청,하행,24.075000000000003,23.15,29.475,33.4,42.5,42.7,42.575,41.775,36.425,35.475,29.0,27.225,20.5,13.350000000000001
849.0,주말,1,152,종각,상행,31.925,32.875,37.075,38.45,37.9,33.45,32.925,30.0,26.225,23.75,23.15,22.5,20.65,22.0
850.0,주말,1,152,종각,하행,25.95,24.875,30.375,33.425,41.875,43.5,40.35,39.724999999999994,34.475,31.799999999999997,25.35,24.175,18.025,11.95
847.0,주말,1,153,종로3가,상행,30.650000000000002,34.025,39.55,37.0,40.724999999999994,36.2,35.1,33.25,30.275,26.925,26.475,25.525,24.375,27.05
848.0,주말,1,153,종로3가,하행,28.2,27.5,32.525,34.85,41.725,42.575,38.65,37.0,30.575000000000003,26.25,21.075000000000003,19.4,14.25,9.775
845.0,주말,1,154,종로5가,상행,26.625,29.1,34.325,33.65,39.725,35.55,34.400000000000006,33.3,31.75,26.525,27.625,26.625,24.9,26.975
846.0,주말,1,154,종로5가,하행,33.275000000000006,32.324999999999996,41.85,41.1,48.05,46.974999999999994,41.075,39.5,29.175,25.375,18.5,16.225,10.8,8.774999999999999
843.0,주말,1,155,동대문,상행,23.775,28.025,33.8,35.425,38.900000000000006,34.125,35.575,34.2,32.4,26.175,27.45,27.775,24.700000000000003,26.625
844.0,주말,1,155,동대문,하행,34.025,32.6,41.65,41.525000000000006,43.5,43.2,37.75,35.65,25.825,21.425,15.274999999999999,13.850000000000001,9.325,8.225
839.0,주말,1,156,신설동,상행,17.924999999999997,20.175,25.875,28.175,33.275000000000006,33.8,29.6,35.650000000000006,29.6,25.4,25.15,23.799999999999997,27.525,20.325
840.0,주말,1,156,신설동,하행,35.2,31.125,39.025,33.875,40.125,32.875,31.924999999999997,29.75,21.025,17.400000000000002,14.1,11.3,8.05,7.1
837.0,주말,1,157,제기동,상행,14.274999999999999,16.025,19.9,22.225,27.325000000000003,29.225,27.1,33.85,27.450000000000003,25.625,25.125,23.075,26.575000000000003,19.775
838.0,주말,1,157,제기동,하행,34.075,31.025,36.400000000000006,32.85,37.650000000000006,30.5,30.025,27.25,18.4,16.200000000000003,13.45,10.875,7.175000000000001,6.775
835.0,주말,1,158,청량리,상행,11.375,11.55,16.174999999999997,17.200000000000003,21.875,27.325000000000003,24.174999999999997,29.125,24.6,23.275,21.825000000000003,21.3,24.1,17.8
836.0,주말,1,158,청량리,하행,29.15,30.425,31.575000000000003,31.05,29.85,27.15,24.625,25.35,16.1,13.3,12.3,10.175,6.875,6.800000000000001
841.0,주말,1,159,동묘앞,상행,19.4,22.3,26.9,29.625,33.975,30.625,33.025,32.925,27.95,25.0,25.625,25.525,22.200000000000003,23.025
842.0,주말,1,159,동묘앞,하행,35.4,33.95,42.050000000000004,43.0,43.225,40.650000000000006,39.0,33.25,25.125,20.425,14.35,12.675,8.175,7.425
875.0,주말,2,201,시청,상행,32.475,35.825,47.05,45.125,43.35,43.5,49.724999999999994,48.525,36.625,36.1,34.925,41.099999999999994,42.8,40.35
876.0,주말,2,201,시청,하행,28.25,35.375,45.9,44.3,48.425,54.474999999999994,55.8,61.150000000000006,57.25,48.55,50.400000000000006,45.275000000000006,39.474999999999994,33.95
873.0,주말,2,202,을지로입구,상행,28.375,32.625,43.900000000000006,43.95,42.15,44.55,50.25,51.075,40.925,38.400000000000006,40.95,43.525,45.975,43.9
874.0,주말,2,202,을지로입구,하행,28.05,34.175,43.475,41.675,45.125,49.9,51.225,54.175,51.474999999999994,45.05,47.075,42.825,37.525000000000006,32.95
871.0,주말,2,203,을지로3가,상행,27.2,31.625,41.425,43.25,40.75,43.325,48.15,49.275000000000006,40.550000000000004,38.05,40.275000000000006,42.849999999999994,45.6,44.050000000000004
872.0,주말,2,203,을지로3가,하행,32.275000000000006,37.275,45.849999999999994,43.375,44.825,48.45,50.0,50.95,48.425,39.45,39.45,36.425,32.975,27.275
869.0,주말,2,204,을지로4가,상행,27.5,32.275,40.65,43.925,42.300000000000004,43.875,50.2,51.225,41.925,38.95,41.45,44.025000000000006,46.2,43.65
870.0,주말,2,204,을지로4가,하행,32.5,36.4,45.45,41.3,45.1,47.150000000000006,47.55,48.5,45.75,37.725,37.6,34.650000000000006,30.9,25.099999999999998
867.0,주말,2,205,동대문역사문화공원,상행,32.5,39.5,49.175000000000004,49.975,48.425,50.1,55.075,54.85,45.550000000000004,39.7,38.4,43.5,42.125,42.35
868.0,주말,2,205,동대문역사문화공원,하행,34.375,37.099999999999994,47.425000000000004,43.425,46.6,48.75,48.95,49.775,46.7,38.650000000000006,38.45,35.375,30.5,25.8
865.0,주말,2,206,신당,상행,33.8,41.45,50.1,51.4,50.325,52.05,56.55,55.6,45.474999999999994,39.099999999999994,37.25,41.325,40.325,39.475
866.0,주말,2,206,신당,하행,36.45,39.35,50.525,49.2,50.650000000000006,53.425,51.325,57.725,53.55,46.425,45.8,41.900000000000006,35.75,28.575
863.0,주말,2,207,상왕십리,상행,34.05,42.175,49.974999999999994,52.7,50.45,50.675,56.025000000000006,55.125,44.25,37.650000000000006,35.6,39.7,38.6,37.1
864.0,주말,2,207,상왕십리,하행,35.375,38.875,49.925,48.650000000000006,50.425,53.675,52.175,59.375,57.125,47.3,47.8,44.125,38.2,31.425
861.0,주말,2,208,왕십리,상행,27.65,36.275,43.6,45.15,42.849999999999994,42.375,46.275,42.675,35.075,27.975,24.2,26.3,25.025,23.575
862.0,주말,2,208,왕십리,하행,33.675,38.650000000000006,48.625,49.375,47.725,53.35,51.9,59.8,57.325,47.9,48.675,44.775000000000006,39.225,29.375
859.0,주말,2,209,한양대,상행,26.8,35.95,42.275000000000006,44.650000000000006,42.25,42.075,45.975,43.075,34.95,27.825000000000003,23.875,26.175,24.375,22.75
860.0,주말,2,209,한양대,하행,24.200000000000003,27.125,33.925,36.400000000000006,34.65,42.925,42.4,51.625,47.2,43.825,43.8,39.55,36.05,25.125
857.0,주말,2,210,뚝섬,상행,23.775000000000002,32.375,39.125,39.6,40.075,37.575,45.150000000000006,44.6,37.7,31.799999999999997,26.775,29.225,26.925,22.975
858.0,주말,2,210,뚝섬,하행,24.200000000000003,26.75,33.475,36.150000000000006,34.099999999999994,42.0,41.425,50.275000000000006,46.05,43.5,43.55,39.349999999999994,35.225,24.825
941.0,주말,2,211,성수,상행,22.05,31.224999999999998,33.525,34.525,32.8,35.35,39.8,47.575,43.55,37.625,35.225,36.35,32.25,45.2
942.0,주말,2,211,성수,하행,25.575000000000003,28.15,35.349999999999994,37.675,35.325,42.0,39.475,47.575,41.675,37.849999999999994,38.075,34.775,31.950000000000003,23.7
939.0,주말,2,212,건대입구,상행,26.25,35.175,38.225,36.9,31.900000000000002,33.85,35.875,38.724999999999994,35.275000000000006,32.375,30.299999999999997,31.3,29.950000000000003,40.175
940.0,주말,2,212,건대입구,하행,31.35,35.15,44.300000000000004,45.75,43.150000000000006,45.400000000000006,48.45,50.025000000000006,36.550000000000004,32.575,30.25,30.55,24.975,17.65
937.0,주말,2,213,구의,상행,27.375,36.325,38.975,37.775,30.625,33.725,35.125,35.35,32.625,29.7,26.725,28.075,27.475,33.5
938.0,주말,2,213,구의,하행,28.375,32.05,39.375,41.125,39.225,42.825,48.125,53.724999999999994,40.025000000000006,34.125,33.150000000000006,32.5,23.625,14.3
935.0,주말,2,214,강변,상행,29.150000000000002,39.15,40.85,38.9,30.65,32.65,33.925,33.6,30.875,27.25,24.575000000000003,26.8,25.7,29.575000000000003
936.0,주말,2,214,강변,하행,25.4,30.15,36.575,39.825,36.225,41.45,46.875,51.775000000000006,43.025000000000006,35.1,34.025000000000006,33.875,24.3,15.05
933.0,주말,2,215,잠실나루,상행,29.9,39.45,42.025000000000006,37.925,32.875,31.725,34.2,33.1,30.825,26.85,24.925,23.35,26.1,25.25
934.0,주말,2,215,잠실나루,하행,23.4,27.25,34.175,38.725,35.4,41.525000000000006,47.025000000000006,54.825,41.95,34.125,35.599999999999994,34.425,24.25,15.600000000000001
931.0,주말,2,216,잠실,상행,30.875,41.525000000000006,46.675000000000004,43.025000000000006,34.15,32.625,36.65,35.725,33.599999999999994,29.825,32.2,30.7,28.950000000000003,17.375
932.0,주말,2,216,잠실,하행,21.975,27.375,34.175,37.825,35.3,42.2,47.7,56.5,41.425,34.075,37.599999999999994,34.95,25.075,16.2
929.0,주말,2,217,잠실새내,상행,30.6,39.425,44.275,43.474999999999994,33.8,31.1,33.775,33.875,32.425,28.95,31.325,30.725,30.2,16.25
930.0,주말,2,217,잠실새내,하행,27.6,30.400000000000002,37.15,40.974999999999994,37.325,44.525,50.725,63.324999999999996,40.225,32.525,31.5,29.525000000000002,24.85,18.35
927.0,주말,2,218,종합운동장,상행,29.975,35.725,33.4,34.525000000000006,32.425,30.375,35.775,45.25,33.1,29.65,33.55,32.349999999999994,27.95,15.925
928.0,주말,2,218,종합운동장,하행,26.55,29.675,36.7,40.8,36.25,44.0,50.775,63.325,40.2,31.15,30.975,27.25,24.0,17.45
925.0,주말,2,219,삼성,상행,23.825000000000003,29.175,31.25,33.349999999999994,35.05,35.150000000000006,44.25,54.875,42.85,37.175,41.9,39.225,32.25,18.65
926.0,주말,2,219,삼성,하행,27.65,35.125,46.425,50.15,37.2,43.625,46.8,46.275,38.900000000000006,29.225,28.875,27.075000000000003,23.725,18.95
923.0,주말,2,220,선릉,상행,27.375,34.475,37.25,39.400000000000006,43.6,40.525000000000006,50.75,60.85,50.725,44.224999999999994,47.225,46.1,42.2,23.674999999999997
924.0,주말,2,220,선릉,하행,39.525000000000006,46.7,54.825,56.25,41.175,42.625,41.925000000000004,41.25,33.5,24.175,22.700000000000003,22.5,21.1,16.525
921.0,주말,2,221,역삼,상행,26.700000000000003,33.974999999999994,37.25,41.75,42.025,42.85,52.875,62.625,53.650000000000006,46.625,49.725,47.975,44.55,26.45
922.0,주말,2,221,역삼,하행,46.925,54.5,59.875,63.650000000000006,47.925000000000004,48.075,49.85,43.675,37.150000000000006,27.9,26.400000000000002,27.900000000000002,23.675,20.675
919.0,주말,2,222,강남,상행,26.15,35.025,37.6,41.724999999999994,42.95,48.55,57.650000000000006,63.125,56.099999999999994,50.175,53.875,55.8,55.650000000000006,35.025000000000006
920.0,주말,2,222,강남,하행,51.3,58.15,62.1,66.5,49.475,48.45,49.825,43.575,36.9,27.725,26.200000000000003,27.525,23.475,21.625
917.0,주말,2,223,교대,상행,28.05,34.150000000000006,37.150000000000006,43.45,42.9,47.875,59.25,62.150000000000006,58.65,53.625,57.95,61.075,60.0,37.575
918.0,주말,2,223,교대,하행,56.775,62.050000000000004,66.05000000000001,69.85,54.224999999999994,48.3,51.0,46.525000000000006,39.25,30.15,26.6,25.85,21.575,19.825
915.0,주말,2,224,서초,상행,27.2,31.825,36.625,43.8,42.325,48.35,59.875,62.675,59.75,54.95,59.050000000000004,62.55,62.099999999999994,37.525000000000006
916.0,주말,2,224,서초,하행,61.575,66.175,66.1,67.775,55.875,47.025,54.75,45.225,38.675,28.95,25.6,25.450000000000003,21.725,20.125
913.0,주말,2,225,방배,상행,26.775000000000002,32.125,37.375,45.225,43.275000000000006,47.575,61.6,63.075,59.75,53.8,59.475,63.275000000000006,60.8,42.05
914.0,주말,2,225,방배,하행,61.25,64.5,64.725,65.475,54.7,45.474999999999994,50.8,44.55,37.075,27.125,24.125,23.875,21.375,20.325
911.0,주말,2,226,사당,상행,25.7,29.725,34.099999999999994,42.95,43.7,46.325,59.975,59.925,63.15,58.65,57.1,65.75,63.875,45.825
