연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
12.0,평일,1,157,제기동,하행,29.299999999999997,24.05,29.5,27.0,25.85,31.35,28.1,30.5,28.6,14.95,12.0,11.75,9.75,7.25
1.0,평일,1,158,청량리,상행,16.8,15.95,17.2,20.200000000000003,19.799999999999997,24.25,29.85,39.7,63.9,36.25,25.450000000000003,26.35,22.6,18.3
11.0,평일,1,158,청량리,하행,28.9,22.8,24.799999999999997,25.65,20.25,28.5,24.25,26.6,24.15,13.45,10.5,11.3,9.05,7.2
4.0,평일,1,159,동묘앞,상행,24.15,24.7,25.75,29.200000000000003,26.5,30.05,37.0,43.849999999999994,75.9,36.2,31.1,35.849999999999994,26.25,20.6
14.0,평일,1,159,동묘앞,하행,32.95,28.35,33.5,34.3,29.9,38.3,31.75,38.1,35.650000000000006,19.200000000000003,14.600000000000001,14.25,11.95,7.8
83.0,평일,2,201,시청,상행,36.15,37.8,42.05,41.150000000000006,38.8,42.95,48.900000000000006,55.1,61.5,32.25,25.549999999999997,39.0,39.25,28.55
30.0,평일,2,201,시청,하행,26.1,34.8,33.55,38.3,38.3,44.0,50.05,71.55000000000001,106.95,57.3,59.199999999999996,50.400000000000006,57.95,27.75
82.0,평일,2,202,을지로입구,상행,31.200000000000003,36.05,39.2,42.85,41.45,46.3,51.85,66.1,79.0,39.1,32.4,46.099999999999994,44.05,34.0
29.0,평일,2,202,을지로입구,하행,26.4,33.400000000000006,33.55,35.75,37.45,41.349999999999994,46.55,66.19999999999999,93.6,50.099999999999994,55.95,45.6,54.2,26.25
81.0,평일,2,203,을지로3가,상행,30.65,35.0,38.7,40.75,41.0,44.95,51.1,69.30000000000001,77.45,39.6,31.35,47.1,44.45,34.8
28.0,평일,2,203,을지로3가,하행,30.25,36.05,35.45,36.4,37.35,40.05,43.7,57.55,79.45,42.45,45.0,38.3,44.7,21.1
80.0,평일,2,204,을지로4가,상행,30.9,35.6,40.0,42.4,43.2,47.75,54.849999999999994,75.5,84.05,43.6,32.65,48.9,47.2,34.7
27.0,평일,2,204,을지로4가,하행,29.25,33.900000000000006,33.65,34.1,34.5,37.3,42.2,51.5,69.15,39.5,42.099999999999994,34.95,40.5,19.1
79.0,평일,2,205,동대문역사문화공원,상행,38.35,44.0,47.15,51.0,48.3,53.0,61.2,82.05000000000001,84.85,41.6,31.35,45.4,44.3,31.75
26.0,평일,2,205,동대문역사문화공원,하행,30.7,35.2,36.0,34.85,35.35,38.85,42.150000000000006,50.400000000000006,67.4,38.8,42.1,35.05,41.2,18.7
78.0,평일,2,206,신당,상행,39.55,44.3,49.3,50.75,48.75,54.1,62.6,82.4,79.85,40.35,29.55,41.599999999999994,43.25,30.799999999999997
25.0,평일,2,206,신당,하행,33.55,37.9,38.5,40.15,40.0,46.1,48.3,59.099999999999994,82.4,50.650000000000006,54.05,43.8,49.85,21.9
77.0,평일,2,207,상왕십리,상행,39.55,44.6,49.55,50.5,48.45,53.5,61.45,80.55,77.9,39.15,28.4,39.85,41.05,28.9
24.0,평일,2,207,상왕십리,하행,33.25,38.5,38.7,39.05,41.15,47.15,49.3,61.949999999999996,86.35,53.05,56.25,45.45,49.0,22.45
76.0,평일,2,208,왕십리,상행,36.3,38.65,42.75,43.150000000000006,40.45,40.099999999999994,44.65,53.3,52.4,26.0,18.85,25.05,27.049999999999997,19.6
23.0,평일,2,208,왕십리,하행,32.2,37.55,37.95,38.6,41.0,47.7,49.45,63.65,85.6,55.05,56.75,47.6,49.5,22.700000000000003
75.0,평일,2,209,한양대,상행,27.15,36.35,36.95,39.150000000000006,38.599999999999994,41.85,46.400000000000006,56.15,54.0,26.8,18.95,26.450000000000003,27.049999999999997,19.65
22.0,평일,2,209,한양대,하행,22.3,26.9,28.3,30.400000000000002,33.45,39.95,42.349999999999994,54.349999999999994,76.4,46.5,51.05,43.099999999999994,42.55,18.2
74.0,평일,2,210,뚝섬,상행,23.6,33.25,34.55,36.85,37.2,41.2,45.8,58.45,59.3,28.7,20.55,28.25,28.2,20.7
21.0,평일,2,210,뚝섬,하행,25.200000000000003,25.5,29.950000000000003,29.4,30.45,35.95,36.7,49.0,71.1,43.2,46.45,39.55,36.65,17.55
116.0,평일,2,211,성수,상행,21.15,25.8,28.5,31.75,33.85,38.65,41.6,49.35,70.9,38.900000000000006,32.95,43.099999999999994,35.8,22.65
63.0,평일,2,211,성수,하행,26.549999999999997,26.35,30.200000000000003,29.0,29.3,33.75,34.1,43.3,59.95,37.95,40.55,34.55,33.5,16.55
115.0,평일,2,212,건대입구,상행,23.6,26.950000000000003,29.1,30.9,31.95,35.4,37.3,43.099999999999994,54.3,30.7,28.05,34.95,31.15,18.85
62.0,평일,2,212,건대입구,하행,25.1,30.15,33.25,30.7,29.85,32.95,39.3,44.85,49.099999999999994,29.75,26.200000000000003,30.0,29.15,15.75
114.0,평일,2,213,구의,상행,24.1,27.450000000000003,28.299999999999997,29.9,30.5,33.5,35.2,40.2,49.55,26.55,24.65,30.65,27.049999999999997,16.1
61.0,평일,2,213,구의,하행,20.9,28.25,30.35,28.200000000000003,28.65,33.8,40.900000000000006,48.05,59.25,35.55,29.95,35.150000000000006,31.4,15.65
113.0,평일,2,214,강변,상행,27.049999999999997,27.75,28.549999999999997,29.700000000000003,29.15,32.7,33.45,38.400000000000006,46.1,25.4,22.85,28.85,24.950000000000003,15.700000000000001
